מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
5-00100,,,בשיעור הזה נתעסק בעיקר בדקויות שפה והטיית פעלים...
5-00200,מי,,QUEM
5-00201,,,ונשלב במשפט שאלה..
5-00300,מי מדבר אנגלית פה ?,,QUEM FALA INGLÊS AQUI ?
5-00301,,,  אחת התשובות האפשריות..
5-00400,אף אחד,,NINGUÉM
5-00500,אף אחד לא מדבר אנגלית כאן,,NINGUÉM FALA INGLÊS AQUI
5-00501,,,לעומת זאת...
5-00501,כולם,,TODOS
5-00502,,,או..
5-00603,"כולם, כל העולם",,TODO EL MUNDO
5-00604,,,לקהל כללי
5-00605,,,  ומכאן שתי אפשרויות :
5-00700,כל העולם מדבר פורטוגזית – גוף שלישי יחיד,,TODO O MUNDO FALA PORTUGUÊZ
5-00701,,,שימו לב שהפועל בגוף שלישי יחיד כי הוא מתייחס לקהל הכללי של דוברי פורטוגזית...
5-00702,,,או ..
5-00703,כולם מדברים פורטוגזית – גוף שלישי רבים,,TODOS FALAM PORTUGUÊZ
5-00704,,,במשפט הזה הוספנו M וזה עבר לגוף שלישי רבים  FALAM  כי מדובר בהרבה אנשים...
5-00705,,,  ואלה שכבר יודעים קצת פורטוגזית ישאלו..
5-00800,למה אתה לא מדבר פורטוגזית איתי ?,,PORQUE VOCÊ NÃO FALA PORTUGUÊZ COMIGO ??
5-00801,,,ונעבור לנושא לא פחות רלוונטי – קניות ..
5-00900,לקנות,,COMPRAR
5-01000,אני קונה את זה,,LO COMPRO
5-01001,,,"תזכורת – כשהפועל ראשון או יחד, המושא (LO למשל) בא לפניו והפועל בא בהטייה,  כאן גוף ראשון יחיד הווה  .."
5-01002,,,ובשלילה..
5-01100,אני לא קונה את זה,,NÃO LO COMPRO
5-01101,,,ושאלה של מוכרנים לתיירים...
5-01200,למה אינך קונה את זה (מנומס) ?,,PORQUE VOCÊ NÃO LO COMPRA ?
5-01201,,,והתשובה..
5-01300,אני לא יודע למה אני לא קונה את זה,,NÃO SEI PORQUE NÃO  LO COMPRO
5-01301,,,ומנושא לנושא באותו נושא..
5-01302,למכור,,VENDER
5-01303,,,ייקרא  - בֶּנְדֶר – ועכשיו שאלה..
5-01400,למה אתה לא מוכר את זה ?,,PORQUE VOCÊ NÃO  VENDE-LO ?
5-01401,,,"והתשובה המפורטת – בעברית – ""ככה"" ובפורטוגזית .."
5-01500,אני לא מוכר את זה כי אני לא רוצה למכור את זה,,NÃO  LO VENDO PORQUE NÃO  QUERO VERDER-LO
5-01514,מותק,,CARA
5-01600,,,חזרה קצרה...
5-01601,אני מדבר,,FALO
5-01602,,,"זוכרים – גוף ראשון הווה יחיד נגמר, לרוב, ב ""O"" וההדגשה, כרגיל, היא על ההברה הלפני אחרונה – FALO"
5-01603,,,הוא מדבר או בציווי – דבר/דברי...
5-01700,"הוא מדבר, היא מדברת, דבר, דברי",,FALA
5-01702,,,"הגוף השלישי יחיד הווה , לפעלים בקבות AR , כמו  HABLAR ייגמר ב A"
5-01800,להבין,,COMPREENDER
5-01900,אני מבין,,COMPREENDO
5-01901,,,"גוף ראשון הווה יחיד יהיה כנ""ל – יסתיים (לרוב) ב O"
5-01902,,,אבל גוף שלישי יסתיים ב E עבור פעלים מסוג זה שמסתיימים ב ER – כמו COMPREENDER  - זוכרים ? קבוצת פעלי הלא-AR
5-01903,,,לכן גוף שלישי יחיד...
5-02000,"הוא מבין, היא מבינה ",,COMPREENDE
5-02001,,,או גו שלישי..
5-02002,אתה מבין את מבינה,,COMPREENDES
5-02100,לעזוב,,SAIR
5-02101,,,ההטיות של הפועל SAIR
5-02200,ההטיות של הפועל SAIR,,"SAIO, SAIS, SAI, SAÍMOS,.., SAEM"
5-02202,,,כל הגופים האחרים נשארים רגילים..
5-02203,,,למשל גוף שלישי יחיד...
5-02300,"הוא עוזב, היא עוזבת",,SAI
5-02301,,,"לפעלים מקבוצת AR יתווסף M לגוף שלישי יחיד , לכן הסיומתתהיה AM כמו FALAM , בקבוצת הלא-AR  יתווסף M ל-E וזה ייתן EM   "
5-02302,,,כמה דוגמאות משני הסוגים בגוף שלישי רבים..
5-02400,"אתם, הם מדברים",,FALAM
5-02500,"אתם, הם מבינים",,ENTENDEM
5-02600,הם עוזבים,,SALEM
5-02700,הם נפרדים,,PARTEM
5-02800,הם עושים זאת,,LO FAZEM
5-02900,הם קונים את זה,,LO COMPRAM
5-03000,הם מוכרים את זה,,LO VENDEM
5-03001,,,  עוד שאלות, ובפורטוגזית...
5-03002,עוד שאלות,,MÁS PERGUNTAS
5-03200,למה אתה לא מוכר  את זה אדוני ?,,"PORQUE VOCÊ NÃO LO VENDE, SENHOR?"
5-03201,,,ושאלת תוכחה !
5-03300,למה אתה לא עושה את זה,,PORQUE VOCÊ NÃO LO FAZ ?
5-03301,,,וגם ברבים :
5-03500,למה הם לא עושים את זה ?,,PORQUE ELES NÃO LO FAZEM ?
5-03601,,,   קבלו כאן כמה הטיות הווה של פעלים שימושיים..
5-03602,הטיות הווה לפועל FALAR ,לדבר,,"FALO, FALAS, FALA, FALAMOS,…, FALAM"
5-03700,הטיות הווה לפועל COMER ,לאכול,,"COMO, COMES, COME, COMEMOS,…, COMEM"
5-03800,הטיות הווה לפועל COMPRENDER ,להבין,,"COMPREENDO, COMPREENDES, COMPREENDE, COMPREENDEMOS,.., COMPRENDEM"
5-03900,הטיות הווה לפועל VIR ,לבוא,,"VENHO, VENS, VEM, VIMOS, …, V Ê M"
5-04000,הטיות הווה לפועל SAIR ,לעזוב,,"SAIO, SAIS, SAI, SAIMOS,…, SAEM"
5-04100,הטיות הווה לפועל FAZER ,לעשות,,"FAÇO, FAZES, FAZ, FAZAMOS,…, FAZEM"
5-04200,הטיות הווה לפועל DIZER ,להגיד,,"DIGO , DIZES, DIZ , DIZEMOS , …, DIZEM"
5-04300,הטיות הווה לפועל QUERER ,לרצות,,"QUERO, QUERES, QUER, QUEREMOS, …,QUEREM"
5-04400,הטיות הווה לפועל PODER ,להיות מסוגל,,"POSSO, PODES, PODE, PODEMOS, …, PODEM"
5-04700,אני לא מדבר,,NÃO FALO
5-04800,אני מבין,,ENTENDO
5-04900,אני לא מבין,,NÃO ENTENDO
5-05000,אתה מבין,,ENTENDES
5-05001,,,   שאלות מאד חשובות לתייר...
5-05100,אתה מבין את זה ?,,LO ENTENDES ?
5-05200,אתה מבין אותי ?,,ME ENTENDES ?
5-05300,אתה לא מבין אותי ? ,,NÃO ME ENTENDES ?
5-05301,,,והשאלה המתבקשת...
5-05400,למה אתה לא מבין אותי ?,,PORQUE VOCÊ NÃO ME ENTENDE ?
5-05401,,,וגוף שלישי רבים..
5-05500,הם מבינים,,ENTENDEM
5-05501,,,"כי COMPRENDER שייך למסלול ה לא-AR    ולכן יבוא   "" EM  """
5-05502,,,"לעומת זאת, עם הפועל הוא מקבוצת ה-AR , האות השולטת בסיומת תהיהAM"
5-05600,הם מדברים,,FALAM
5-05601,,,"  אמרנו שבזמן הווה גוף ראשון יחיד יש ""O"" בסוף הפועל – יש יוצאים מהכלל מועט לכלל זה - למען הדיוק ישנם 4 יוצאים מן הכלל, בהם יש  OU במקום O :"
5-05700,אני הולך -מהפועל IR,,VOU
5-05701,I AM – מהפועל ESTAR,,ESTOU
5-05702,I AM – מהפועל SER,,SOU
5-05703  ,אני נותן – מהפועל DAR,,DOU
5-05704,,,"יוצא מן הכלל, אבל לגמרי, זה הגוף הראשון של הפועל SABER"
5-05800,אני יודע – מהפועל SABER,,SEI
5-05801,,,ובשלילה..
5-05900,אני לא יודע,,NÃO SEI
5-06000  ,אני לא יודע את זה,,NÃO LO SEI
5-06100,,,דוגמאות לפעלים מקבוצת ה   AR
5-06101,"דוגמאות לפעלי ""AR""  - להתחיל, לקנות, להתחתן, לקרא (ל), לדבר, להכין. להסכים. לפגוש",,"COMEÇAR,  COMPRAR, CASAR, CHAMAR,  FALAR, PREPARAR, ACEITAR, ENCONTRAR"
5-06200,,,דוגמאות לפעלים מקבוצת ה-לא AR
5-06201,"דוגמאות לפעלי לא-""AR"" – להבין, לאכול, לשתות, להרגיש, לרצות, להיות מסוגל, למכור, לתרגם, לכתוב",,"ENTENDER , COMER, BEBER, SENTIR, QUERER, PODER, VENDER, TRADUIR, ESCREVER"
5-06300,,,  חזרה קצרה בענייני קנייה-מכירה...
5-06301,למה אתה לא קונה את זה ?,,PORQUE NÃO LO COMPRAS ?
5-06302,,,ומצד השני..
5-06303,למכור,,VENDER
5-06400,אני מוכר את זה,,LO VENDO
5-06500,למה אתה לא מוכר את זה?,,PORQUE NÃO LO VENDES ?
5-06501,,,"כזכור, בגוף שלישי רבים, מוסיפים לגוף שלישי VENDE – M  ויוצא..."
5-06600,למה אתם לא מוכרים את זה,,PORQUE NÃO LO VENDEM ?
5-06701,,,  ושוב..
5-06800,למה אתה לא קונה את זה,,PORQUE NÃO LO COMPRAS ?
5-06801,,,"כזכור, בגוף שלישי רבים, מוסיפים לגוף שלישי COMPRA – M  ויוצא..."
5-06900,הם לא קונים את זה,,NÃO LO COMPRAM
5-06901,,,והשאלה המתבקשת...
5-07000,למה אתם לא קונים את זה,,PORQUE NÃO LO COMPRAM ?
5-07001,,,"   עכשיו נלמד את מילות הגוף הנפוצות - ה""זה, זאת, אלה"" "
5-07100,ההוא,,ESSE
5-07101,ההיא,,ESSA
5-07102,ההוא (בלי לציין מין) – בא לבד,,ISSO
5-07103,הזה,,ESTE
5-07104,הזאת,,ESTA
5-07105,הזה (בלי לציין מין) – בא לבד,,ISTO
5-07106,,,"שימו לב – ההבדל בין קרוב לרחוק - כל ה""זה"" הקרובים יש בהם T – זיכרו ה-T  את זה כמו להגיד ""פה"" , במקום הזה  (ציירו את  T  באוויר ותראו למה הכוונה..)"
5-07107,,,כמה דוגמאות...
5-07200    ,"הלילה הזה (מה לעשות, הלילה הוא נקבי בפורטוגזית)",,ESTA NOITE
5-07300,"השולחן הזה (מה לעשות, השולחן הוא נקבי בפורטוגזית)",,ESTA TABELA
5-07400,"הבית הזה (מה לעשות, הבית הוא נקבי בפורטוגזית)",,ESTA CASA
5-07500,"הבית ההוא (מה לעשות, הבית הוא נקבי בפורטוגזית)",,ESA CASA
5-07600,הספר הזה,,ESTE LIVRO
5-07601,,,לעומת..
5-07700,הספר ההוא,,ESSE LIVRO
5-07701,,,"שימו לב שכשמשתמשים ב    ISTO   ו   ISO    לא בא אחריהם שם עצם כי, כמו שנאמר, אנחנו לא יודעים איך קוראים לו או מה מינו – בדרך כלל מתלווה למשפט הצבעה עם האצבע.."
5-07900,אני רוצה לראות את ההוא,,QUERO VER ISO
,,,או...
,אני רוצה לקנות את זה,,QUERO COMPRAR ISTO
5-07901,,,"ועכשיו, שילוב של שני דברים שלמדנו – ""עתיד קרוב"" ו""זה"" "
5-08000,"אני הולך לקנות את זה – בד""כ מצביעים",,VOU A COMPRAR ESTO
5-08001,,,או...
5-08100,"רוצה לקנות את ההוא - בד""כ מצביעים",,QUERO COMPRAR ESSO
5-08200,למה אתה לא קונה את הספר הזה ?,,PORQUE VOCÊ NÃO COMPRA ESTE LIVRO ?
5-08201,,,"ונחזור על הנ""ל..."
5-08300,הלילה הזה,,ESTA NOITE
5-08301,,,"נזכור ש""לילה"" בפורטוגזית זה ממין נקבה "
5-08400,השולחן הזה,,ESTA TAVOLA
5-08401,,,"גם ""שולחן"" הוא ממין נקבה בפורטוגזית"
5-08500,הבית הזה,,ESTA CASA
5-08501,,,"וגם ""בית"" הוא ממין נקבה בפורטוגזית  "
5-08502,,,"וכמה דוגמאות ל""ההוא"" המרוחק (לא פה, שם..)"
5-08600    ,הבית ההוא,,ESSA CASA
5-08601,השולחן ההוא,,ESSA TAVOLA
5-08602    ,הלילה ההוא,,ESSA NOITE
5-08700,הספר ההוא,,ESSE LIVRO
5-08701,,," ו""זה"" כללי, כשלא  יודעים את שם/מין האוביאקט שמצביעים עליו..."
5-08900,הזה,,ISTO
5-08901,,,     או..
5-08902,,,ISO
5-08903,,,למשל...
5-09000,"אני רוצה לראות את זה - בד""כ מצביעים",,QUERO VER ISTO
5-09001,,,או..
5-09100,"אני הולך לקנות את זה - בד""כ מצביעים",,VOU A COMPRAR ISTO
5-09101,,,או..
5-09200,"רוצה לקנות את ההוא - בד""כ מצביעים",,QUERO COMPRAR ESSO
5-09201,,,או במשפט שאלה..
5-09300,למה אתה לא קונה את הספר הזה ?,,PORQUÉ NO COMPRAS ESTE LIVRO ?
5-09301,,,ונתקדם בהטיות....
5-09302,,,גוף ראשון רבים הווה יסתיים תמיד בסיומת MOS כמו המילה המוכרת VAMOS שמשמעותה – אנו הולכים...
5-09400,אנחנו מדברים,,FALAMOS
5-09600,אנחנו אוכלים,,COMEMOS
5-09601,,,עוד דוגמאות מפעלים שלמדנו...
5-09700,אנחנו עוזבים,,SAIMOS
5-09800  ,אנחנו באים,,VIMOS
5-09900,אנחנו מוכרים,,VENDEMOS
5-10000,אנחנו כותבים,,VIMOS
5-10100,יש לנו,,TEMOS
5-10200,אנחנו עושים,,FAZEMOS
5-10300,אנחנו עושים את זה,,LO FAZEMOS
5-10400,אנחנו לא עושים את זה,,NÃO LO FAZEMOS
5-10600,אנחנו אומרים לך (חבר),,NÓS TE DIZEMOS
5-10602,,,ובהזדמנות זו ניזכר שוב בהטיות IR (ללכת) בהווה פשוט...
5-10800,"הטיות הפועל IR - אני הולך, אתה הולך , הוא הולך , אנחנו הולכים , הם הולכים",,"VOU, VAIS, VAI, VAMOS, …,VÃO"
5-10801,,,"בהזדמנות זו גם ניזכר שאחרי כל הטיות הפועל IR יבוא תמיד כוון – ""ל"" או בפורטוגזית A"""" "
5-11000,הם הולכים ל...,,VÃO A….
5-11100,אנחנו הולכים ל...,,VAMOS A….
5-11200,אתה/את הולכת ל..,,VAIS  A…
5-11201,,,כמו במשפט הבא שמשתמשים בפועל כפעל עזר לעתיד קרוב...
5-11300,אנחנו הולכים לעזוב בקרוב,,VAMOS A SAIR EM BREVE
5-11301,,,"משתמשים ב A לא רק ב""ללכת"" אלא בפעלים נוספים שיש להם  כוון, כמו.."
5-11400,להגיע,,CHEGAR
5-11401,,,"דוגמא בה משתמשים ב A בשני השימושים הנ""ל.."
5-11500,באיזה שעה נגיע למדריד ?,,A QUE HORAS VAMOS A CHEGAR A LISBOA ?
5-11501,,,"או בהווה פשוט, היות ויש רמיזה לכך שהפעולה קורית בעתיד.."
5-11600,"באיזו שעה אנחנו מגיעים לליסבון ? (הערה – אם הפעולה תקרה בעתיד, אפשר להשתמש בהווה לתאר עתיד קרוב)",,A QUE HORAS CHEGAMOS A LISBOA ?
5-11601,,,וניזכר בשימושים של הפועל FAZER=לעשות...
5-11700,אנחנו עושים את זה,,LO FAZEMOS
5-11800,הם עושים את זה,,LO FAZEM
5-11900,"למה את לא עושה את זה, רוברטה?",,PORQUE NÃO LO FAZES ROBERTA ?